text,label
contestatie la raportul asupra fondurilor obtinute din lichidare si plan de distributie,2
contestatie la tabelul creantelor si impotriva adunarii generale a creditorilor,2
contestarea declaratiilor de creanta,2
analiza manifestarii de vointa a partilor contractante in privinta executarii contractului,1
contract de furnizare servicii de televiziune prin cablu,1
contract de distributie materisle promotionale,1
confirmare plan reorganizare,2
atragerea raspunderii patrimonialeart din legea nr,2
neexecutarea obligatiei de plata a chiriei,1
imputatia platii,1
opozitie la incheierea de deschidere a procedurii insolventei,2
cerere de deschidere a procedurii insolventei,2
opozitie formulata impotriva hotararii aga,4
contestatie la anuntul de vanzare imobil,2
actiune in anulare ordonanta de plata,1
cerere intemeiata pe dispozitiile art din legea nr,2
conditiile pe care trebuie sa le indeplineasca cererea de inregistrare a unor mentiuni in registrul comertului,4
actiune in anularea actelor frauduloase,2
competenta materiala a tribunalului,4
caracterul intuitu personae al dreptului la executare silita acordat societatilor de credit,4
angajarea raspunderii patrimoniale a administratorului societatii debitoare,2
cerere de interventie formulata in dosarul registrului comertului de inregistrare mentiuni,4
contestatie la tabelul definitiv consolidat,2
confirmare plan reorganizare,2
admisibilitatea actiunii in constatare,1
modalitatea de exprimare a acordului asupra continuarii derularii contractului,1
actiune in anulare,2
atragerea raspunderii patrimoniale art din legea nr,2
actiune in anularea contractului de cesiune marca,2
aplicarea disp art ind cpc,4
indeplinirea conditiilor pentru atragerea raspunderii contractuale,4
dreptul de folosinta asupra imobilului inexistenta raporturilor locative,4
cerere de deschidere a procedurii insolventei,2
contestatie la tabelul definitiv al creantelor,2
competenta,1
contestatie la tabelul definitiv al creantelor,2
atragerea raspunderii patrimoniale a membrilor organelor de conducere,2
indeplinirea obligatiilor asumate prin contractul de inchiriere,1
actiune in anularea actelor frauduloase art din legea nr,2
dovedirea informatiei de risc bancar,1
actiune in anularea actelor frauduloase art din legea nr,2
cerere de instituire sechestru asigurator,2
achitarea taxei de timbru doar pentru unul dintre capetele de cerere,4
sumele datorate cu text de chirie,1
anularea hotararii aga competenta teritoriala,4
contestatie la planul de distributie,2
contract de inchiriere dauneinterese,1
cererea creditorului de deschidere a procedurii insolventei,2
exceptia de neexecutare a contractului,1
contestatie tabel preliminar,2
opozitie impotriva incheierii de deschidere a procedurii insolventei,2
rezolutiune contract de vanzarecumparare notificarea de rezolutiune,1
actiune in anulare,2
actiune in anulare plati,2
obligatia de face,2
contestatia impotriva hotararii adunarii creditorilor,2
contestatie la declaratie de creanta,2
nulitate act juridic autoritatea de lucru judecat,1
calitatea procesuala pasiva creanta certa lichida si exigibila,1
suspendarea executare hotarare aga neprejudecarea fondului cauzei,4
suspendarea executarii prevederilor contractuale,1
suspendare executare hotarare aga inadmisibilitate,4
contravaloare folosinta spatiu prescriptia dreptului material la actiune,1
contestatia impotriva raportului de activitate intocmit de administratorul judiciar,2
contestatia impotriva procesului verbal al adunarii creditorilor,2
cerere de atragere a raspunderii patrimoniale,2
anulare contract de leasing transferul dreptului de proprietate,1
recursdrept de creanta,1
restituire marfa,2
contestatie la tabelul definitiv consolidat al creantelor,2
contestatia impotriva hotararii adunarii creditorilor,2
contestatie impotriva tabelului preliminar,2
cerere de deschidere a procedurii insolventei,2
contestatie impotriva raportului de activitate intocmit de lichidatorul judiciar,2
ridicare suspendare actiuni judiciare si extrajudiciare,2
actiune in anularea actelor frauduloase,2
contestatie la tabelul preliminar al creantelor,2
contestatie impotriva tabelului preliminar al creantelor,2
contestatie impotriva tabelului preliminar al creantelor,2
actiune in anulare,2
contestatie impotriva masurilor luate de administratorul judiciar,2
actiune in anulare,2
angajarea raspunderii contractuale,1
plangere impotriva rezolutiei directorului orc,4
ordonanta de plata actiune in anulareadmisibilitate,4
necompetenta generala a instantelor de judecata,1
raspunderea proprie a fostului asociat lipsa interesului,4
clauze abuzive,1
dizolvare societateexcludere asociat,4
transportul pe caile ferate,4
anulare hotarare aga regula dublei majoritati,4
actiune in anulare,2
contestatie tabel creante,2
actiune in anularea transferului patrimonial,2
deschidere procedura faliment societate de asigurare reasigurare,2
contestatie tabel preliminar creante,2
contestatie tabel definitiv,2
cerere de deschidere a procedurii insolventei,2
actiune in anulare,2
contestatie tabel preliminar,2
comunicare informatii de interes public,0
litigiu privind functionarii publici,0
litigiu privind functionarii publici,0
contestatie act administrativ fiscal,0
litigiu privind functionarii publici,0
suspendare executare act administrativ,0
reorganizare judiciara si faliment inlocuire lichidator judiciar conditii,2
reorganizare judiciara si faliment cerere formulata de creditoare in temeiul art actualmente art din legea nr republicata motivata pe neanalizarea de catre lichidatorul judiciar a indeplinirii elementelor acestei raspunderi patr,2
reorganizare judiciara si faliment respingerea cererii formulata de creditoarea avasautoritatea pentru valorificarea activelor statului privind consolidarea creantei proprii in usd,2
reorganizare judiciara si faliment termenul pana la care poate fi formulata cererea privind raspunderea membrilor organelor de conducere ale societatii debitoare,2
intrerupere executare pedeapsa instanta competenta,3
constatarea nulitatii contractului de vanzarecumparare,1
nulitate contract vanzarecumparare,1
procedura insolventei angajarea raspunderii administratorului pentru fapta prevazuta de art lit d din legea nr in prezent art litd din legea nr conditiile si natura raspunderii,2
constatare nulitate contract de vanzarecumparare incheiat in temeiul legii nr preluare fata text in baza decretului nr principiul validitatii aparentei in drept reacredinta,1
drept civil labell de aplicare a dispozitilor legii art alin si,1
aplicabilitatea dispozitiilor art cod procedura civila in cazul obligatiilor alternative restituirea marfurilor sau plata contravalorii acestora,3
deschiderea procedurii insolventei conditii,2
suspendarea judecatii procedurii de lichidare pe calea ordonantei presedintiale,2
dizolvarea unei societati cu raspundere limitata cu asociat unic consecinte,4
comunicarea hotararii schimbarea sediului nerespectarea dispozitiilor art cprocciv consecinte,3
autorizarea constituirii si inmatricularii unei societati comerciale in registrul comertului denumirea conditii,4
intregirea obiectului cererii in conditiile art cod procedura civila neefectuarea procedurii concilierii directe cu privire la cererea de majorare a pretentiilor in cursul litigiului consecinte,3
insolventa conditiile impuse creantei creditorului autor al cererii de deschidere a procedurii insolventei,2
conditiile de exercitiu ale actiunii civile interesul,3
calitate procesuala pasiva si legatura de cauzalitate intre fapta si prejudiciu in cazul raspunderii intemeiate pe dispozitiile art din legea nr,2
exceptia lipsei capacitatii procesuale de folosinta a primariei municipiului,3
insolventa cererea de atragere a raspunderii administratorului calitate procesuala activa dupa intrarea in vigoare a legii nr,2
contract de comision efecte prezumtia de mandat tacit reciproc intre soti calitate procesuala pasiva,1
scrisoare de garantie bancara contract de garantie reala raporturi daune directe solicitate de garant pentru neexecutare stabilirea culpei contractuale,1
legea nr privind reorganizarea judiciara si falimentul modificata si republicata notiunea de acte operatiuni si plati ulterioare deschiderii procedurii competenta de solutionare a actiunilor in constatarea nulitatii acestor acte,2
legea nr privind societatile comerciale modificata si republicata dispozitiile art din lege privind exercitarea mandatului in cazul pluralitatii de administratori natura juridica dispozitiva a acestei norme,4
raspunderea membrilor organelor de conducere articolul din legea nr republicata articolul din legea nr,2
radiere societate comerciala in baza legii nr,4
societate comerciala vanzarea unor bunuri a caror valoare nu depaseste din valoarea contabila a activului patrimonial hotararea adunarii generale ordinare a actionarilor prin care sa aprobat vanzarea activului nulitate consecinte,1
contract de vanzarecumparare actiuni vicierea consimtamantului prin dol inexistenta confirmarea actului prin executarea obligatiei de catre debitor,1
oug privind atribuire contractelor de achizitie publica a contractelor de concesiune de lucrari publice si a contractelor de concesiune de servicii,1
informatii de interes public si liberul acces la acestea potrivit lg cu modificarile ulterioare lege privind liberul acces la informatiile de interes public,0
inregistrare mentiuni la registrul comertului privind modificarea actului constitutiv al societatii,4
procedura insolventei casarea hotararii judecatorului sindic prin care se dispusese deschiderea procedurii nulitatea actelor de procedura subsecvente mentinerea unor acte de procedura situatia retribuirii practicianului in insolventa,2
hotararea consiliului de administratie privind majorarea capitalului social prin aport in natura actiune in constatarea nulitatii absolute formulata de tert conditii de exercitare interesul personal ocrotit juridic,4
principiul precautiei in adoptarea deciziilor privind mediul principiul prevenirii riscurilor ecologice si al producerii daunelor garantarea dreptului de consultare in vederea luarii deciziilor privind legislatia si normele de mediu,4
renuntarea la judecata cererea reclamantului de obligare a paratului la plata cheltuielilor de judecata netemeinicie,3
faliment pierderea calitatii procesuale active in urma cesionarii creantei catre o terta societate consecinte fata de lipsa manifestarii de vointa a cesionarului pentru continuarea procesului in calea de atac,2
cerere de atragere a raspunderii membrilor organelor de conducere art alin din legea nr,2
contract de inchiriere incheiat in urma adjudecarii licitatiei clauze contractuale conditii de modificare,1
asociere in participatiune efecte,1
actiunea in radiere reglementata de dispozitiile art din legea nr,4
incidenta dispozitiilor art alin din legea nr asupra societatilor comerciale consecinte,4
anularea contractului de vanzarecumparare al subdobanditorului conform articolului din legea nr,2
societate comerciala vanzarea unor bunuri a caror valoare nu depaseste din valoarea contabila a activului patrimonial hotararea adunarii generale ordinare a actionarilor prin care sa aprobat vanzarea activului nulitate consecinte,4
cereri de atragere a raspunderii prevazute de legea nr calitate procesuala activa,2
deschidere procedura conditii impuse de art alin si art din legea nr pentru incheierea actelor dupa acest moment sanctiuni,2
cerere formulata de debitor pentru declansarea procedurii insolventei conditii,2
procedura insolventei inaplicabilitatea dispozitiilor legii nr fata de asociatiile agricole fara personalitate juridica,2
inchiderea procedurii insolventei,2
incheierea contractului de vanzarecumparare prin oferta urmata de executarea acesteia,1
delegatie imperfecta,1
contract de ipoteca stingerea ipoteciiact autentic forta probanta,1
natura comerciala a cauzeinulitate absoluta contract de instrainareimobilteren catre o societate comerciala,1
procedura insolventei plan de reorganizare tardivitate,4
starea de insolventa creanta prescrisa,4
cerere de atragere a raspunderii patrimoniale reglementata de art din legea nr republicata si modificata procedura de citare,4
cerere de atragere a raspunderii patrimoniale reglementata de art din legea nr republicata in prezent art din legea nr termen de prescriptie neretroactivitate lege noua,4
cerere de atragere a raspunderii patrimoniale reglementata de art din legea nr republicata si modificata sarcina probei,4
competenta de atributiune a instantei judecatoresti,4
legea nr starea de insolventa contestarea starii de insolventa,4
limitele principiului disponibilitatii aplicarea regulilor de interpretare a contractului deosebiri intre nulitate si rezolutiune,1
reprezentarea partilor in judecata procura speciala de reprezentare confera drepturile prevazute de art cod procedura civila,0
procedura insolventei insolventa rasturnarea prezumtiei de insolventa,4
procedura insolventei contestatie impotriva trecerii unei creante sau a unui drept de preferinta in tabelul definitiv de creante formulata dupa expirarea termenului de depunere a contestatiilor dispozitiile de stricta interpretare ale art alin,4
procedura insolventei contestatia la cererea de deschidere a procedurii insolventie daunele cominatorii regim juridic,4
procedura insolventei conditiile introducerii cererii de catre creditor conditia valorii prag a creantei indeplinirea conditiei la data pronuntarii hotararii de deschidere a procedurii insolventei,4
procedura insolventei creante bugetare fisa sintetica pe platitor valoare juridica,4
procedura insolventei desemnarea administratorului judiciar provizoriu conditii,4
procedura insolventei raspunderea membrilor organelor de conducere raspundere civila delictuala proba elementelor raspunderii civile delictuale,4
procedura insolventei competenta adunarii creditorilor in chestiuni de oportunitate posibilitatea desfiintarii hotararii adunarii creditorilor doar pentru chestiuni de nelegalitate legea nr art alin,4
facilitati acordate de casa de pensii a municipiului debitoarei aflata in procedura prevazuta de legea nr opozabilitatea conventiei incheiate in acest scop fata de succesoarea cu text particular avas inscrierea sumei din co,4
dreptul administratorului judiciar al debitoarei de a formula actiuni in conditiile art din legea nr consecinte,4
contradictie intre considerente si dispozitivmotiv de casare inacadrat in dispozitiile art pct din cpr civ,4
ordonanta presedintiala examinarea exclusiv a conditiei urgentei aprecierea facuta de judecatorul fondului in legatura cu cerintele vremelniciei si a neprejudecarii fondului care rezulta implicit din lege neexaminarea acestor cerinte raportat la,4
procedura insolventei formularea actiunii in raspundere prevazuta de art din legea nr legitimare procesuala activa,4
investire cu formula executorie solicitata de participantii la procesul civil care nu au calitatea de parte lipsa investirii cu aceasta formula nu constituie un impediment la executarea hotararii in materie comerciala,4
ratificare mandat netemeinicia motivului de recurs declarat impotriva incheierii judecatorului delegat la registrul comertului cu privire la lipsa imputerniciri persoanei care a semnat cererea de inregistrare in registru a unor mentiuni,4
contestatie in anulare motivul de contestatie privind greseala materiala notiunea de greseala materiala,4
contract de cesiune de creanta lipsa notificarii prevazute de articolul alin cod civil si a acceptarii cesiunii de catre debitor prin act autentic in conditiile articolului alin cod civil consecinte,4
cerere de deschidere a procedurii insolventei formulata de debitoarea societate comerciala cu raspundere limitata prin lichidator numit in conditiile legilor nr si admisibilitate prin prisma prevederilor articolului din legea,4
mentiuni efectuate in registrul comertului lipsa hotararii consiliului de administratie privind numirea administratorilor provizorii consecinte,4
cerere inregistrare mentiuni functionarea mai multor societati comerciale la acelasi sediu social conditii,4
actiunea in radierea unei inregistrari conditii existenta unei hotarari irevocabile anterioare de desfiintare sau modificare a actelor ce au stat la baza inregistrarii pagubitoare a carei radiere se cere inteles,4
procedura insolventei hotararea adunarii creditorilor controlul de legalitate exercitat de judecatorul sindic asupra acestui act,4
procedura insolventei hotararea adunarii creditorilor controlul de legalitate exercitat de judecatorul sindic asupra acestui act,4
procedura insolventei cererea de deschidere a procedurii insolventei fata de societatea comerciala aflata in lichidate conditii,4
sechestru judiciar labell de aplicare indeplinirea conditiei interesului,4
cerere de inregistrare mentiuni limitele controlului de legalitate exercitat de judecatorul delegat la oficiul registrului comertului citarea altor persoane decat petentii conditii,4
procedura insolventei efectuarea lichidarii prin licitatie publica norme speciale,4
cauza licita si morala a contractului,1
contract de locatiune incetat aplicabilitatea clauzei compromisorii in actiunea locatorului in evacuarea locatarului,1
recurs la incheierea judecatoruluidelegat la registrul comertului,4
neaplicarea prevederilor art alin din legea nr rep privind numirea unui lichidator la cererea persoanei interesate in situatia societatilor comerciale dizolvate in mod voluntar prin hotararea adunarii generale a asociatilor,4
lipsa calitatii procesuale active a unui creditor de a exercita calea de atac a recursului impotriva sentintei prin care se respinge cererea de angajare a raspunderii patrimoniale a fostilor administratori ai societatii debitoare,4
perimare cererea de repunere pe rol,4
contract de inchiriere spatiu comercial de catre persoana care il are in administrare,4
radiere sediu social al unei societati comercialeconditii legale de admisibilitate,4
societate comerciala dizolvata de dreptcerere formulata de lichidator pentru deschiderea simplificata a procedurii falimentului conditiile pe care trebuie sa le indeplineasca creanta,4
procedura insolventei cerere de deschidere a procedurii insolventei pentru o societate comerciala srl aflata in lichidare respinsaaplicarea gresita a legii trimiterea cauzei pentru deschiderea procedurii insolventei,4
procedura insolventei contestatie la tabelul preliminar de creante respinsa reaua credinta a tertului dobanditor consecinte,4
societate comerciala aflata in procedura insolventei capacitate procesuala existenta societatii comerciale contract prin care se instraineaza active incheiat cu aprobarea aga nulitatea contractului ca urmare anularii hotararii aga respingere,4
actiune in revendicare contract leasing imobiliar hotarare judecatoreasca care tine loc de contract de vanzarecumparare relativitatea efectelor hotararii judecatoresti limite,4
executarea silita inceputa impotriva fidejusorului intreruperea termenului de prescriptie extinctiva a executarii silite,4
inlocuirea administratoruluilichidatorului judiciar poate fi ceruta numai de comitetul creditorilor ori in lipsa constituirii acestuia de creditorii societatii debitoare masura putand fi dispusa si din oficiu de judecatorul sindic potrivit dispoz,4
nu sunt indeplinite conditiile reglementate prin dispozitiile art cod civil si nu poate fi admisa exceptia puterii lucrului judecat in baza prevederilor art cprciv arunci cand prima actiune a avut drept temei juridic raspunderea contract,4
cauza licita si morala a contractului,1
rasturnarea prezumtiei de insolventa,4
contestatie la tabelul definitiv al creantelor imposibilitatea calificarii acesteia de catre judecatorulsindic drept contestatie la tabelul preliminar al creantelor consecinte,4
actiune in obligarea detentorului precar la a permite accesul pentru efectuarea masuratorilor cadastrale in vederea intocmirii documentatiei pentru obtinerea certificatului de atestare a dreptului de proprietate obligatie propter rem,4
act administrativ ordin emis de catre autoritatea nationala pentru restituirea proprietatilor termen de contestare sarcina probei in situatia invocarii exceptiei de tardivitate a formularii contestatiei,0
achizitii publice anulare decizie consiliul national de solutionare a contestatiilor,0
act administrativ fiscal emis de un organ de specialitate a unei autoritati publice centrale prin care sa dispus suspendarea solutionarii contestatiei pe cale administrativa privind obligatii accesorii ale impozitului pe venituri din salarii intr,0
act administrativ necesitatea organului administrativ emitent al actelor administrative fiscale care au stat la baza actului administrativ contestat incalcarea dreptului la aparare al contestatoarei,0
contract de inchiriere locuinta incheiat pe durata contractului de munca vanzarea imobilului unei alte societati incetarea contractului prin vointa locatoruluicod civil art alin,1
act administrativ fiscal momentul in care tva devine exigibila in cazul transporturilor de marfuri destinate exportului exercitarea dreptului de deducere a tva conditii,0
contract de inchiriereprelungirea de drept a contractului in temeiul art alin din oug nroug nr art art alin art alin art alinoug nrlegea nr art alin art,1
onorariu de succes stabilit prin incheiere de sedinta nerecurata de parti consecinte,4
recurs cazuri de casare eroarea grava de fapt inteles,3
cheltuieli de judecata debitorul unei obligatii care nu este lichida si platibila in bani lipsa punerii in intarziere consecinte,4
recunoastere hotarare arbitrala straina,1
obligatia de a face cerere de obligare a paratei sa emita o factura noua fara corectarea sau stornarea facturilor vechi neconcordanta acestui document nou cu evidenta contabila a societatii parate consecintes,4
competenta ratione materiae determinarea acesteia dupa valoarea obiectului pricinii punctul de referinta valoarea debitului principal,4
procedura insolventei cerere de deschidere a procedurii intemeiata pe bilete la ordin invocarea de catre debitoare pe calea contestatiei prevazute de articolul alin din legea nr a unor aparari privitoare la lipsa mandatului semnatar,4
actiune in nulitate absoluta a contractului de vanzare cumparare de active introdusa de un tert ce a devenit actionarul societatii vanzatoare legitimare procesuala activa lipsa interesului legitim consecinte,4
actiune in constatarea nulitatii absolute a executarii silite a unei hotarari aga inaplicabilitatea dispozitiilor legale relative la executarea silita prevazuta de codul de procedura civila natura juridica a operatiunilor de punere in executare,4
actiune in constatarea nulitatii absolute a executarii silite a unei hotarari aga inaplicabilitatea dispozitiilor legale relative la executarea silita prevazuta de codul de procedura civila natura juridica a operatiunilor de punere in executare,4
recurs impotriva incheierii judecatorului delegat la orctb,4
recursul cazuri in care se poate face recurs obligatia de a motiva solutia,3
contract de asociere incheiat cu o autoritate publica avand ca obiect administrare piata agroalimentara cu obligatia executarii de lucrari privind amenajarea neexecutarea lucrarilor conform obligatiilor contractuale cerere formulata in te,1
reprezentarea in instanta a societatilor comerciale intrate in procedura insolventeiinsusirea demersurilor juridice ale societatii de catre administratorullichidatorul judiciarexceptia lipsei calitatii de reprezentant,4
procedura in declararea nulitatii fuziunii sau divizarii societatilor comerciale,4
procedura insolventeicontestatii cu privire la creantele si drepturile de preferinta trecute de administratorul judiciarlichidator in tabelul preliminar de creante in conditiile art din legea nrinterpretarea gresita a tezei finale,4
insolventamotivul inexistentei sediului debitoarei sau al necorespunderii acestuia cu datele din registrul comertului inteles,4
restituirea cauzei la parchet cercetare penala efectuata de un organ necompetent exceptie invocata pentru prima data in fata instantei de apel consecinte,3
